theta_AF3,slow_alpha_AF3,alpha_AF3,beta_AF3,gamma_AF3,theta_AF4,slow_alpha_AF4,alpha_AF4,beta_AF4,gamma_AF4,theta_AF3_AF4,slow_alpha_AF3_AF4,alpha_AF3_AF4,beta_AF3_AF4,gamma_AF3_AF4,theta_F7,slow_alpha_F7,alpha_F7,beta_F7,gamma_F7,theta_F8,slow_alpha_F8,alpha_F8,beta_F8,gamma_F8,theta_F7_F8,slow_alpha_F7_F8,alpha_F7_F8,beta_F7_F8,gamma_F7_F8,theta_F3,slow_alpha_F3,alpha_F3,beta_F3,gamma_F3,theta_F4,slow_alpha_F4,alpha_F4,beta_F4,gamma_F4,theta_F3_F4,slow_alpha_F3_F4,alpha_F3_F4,beta_F3_F4,gamma_F3_F4,theta_FC5,slow_alpha_FC5,alpha_FC5,beta_FC5,gamma_FC5,theta_FC6,slow_alpha_FC6,alpha_FC6,beta_FC6,gamma_FC6,theta_FC5_FC6,slow_alpha_FC5_FC6,alpha_FC5_FC6,beta_FC5_FC6,gamma_FC5_FC6,theta_T7,slow_alpha_T7,alpha_T7,beta_T7,gamma_T7,theta_T8,slow_alpha_T8,alpha_T8,beta_T8,gamma_T8,theta_T7_T8,slow_alpha_T7_T8,alpha_T7_T8,beta_T7_T8,gamma_T7_T8,theta_P7,slow_alpha_P7,alpha_P7,beta_P7,gamma_P7,theta_P8,slow_alpha_P8,alpha_P8,beta_P8,gamma_P8,theta_P7_P8,slow_alpha_P7_P8,alpha_P7_P8,beta_P7_P8,gamma_P7_P8,theta_O1,slow_alpha_O1,alpha_O1,beta_O1,gamma_O1,theta_O2,slow_alpha_O2,alpha_O2,beta_O2,gamma_O2,theta_O1_O2,slow_alpha_O1_O2,alpha_O1_O2,beta_O1_O2,gamma_O1_O2
-0.936200435506744,-0.7349155400555587,-0.8058581711449717,-0.841446422226485,-0.9255373108635446,-0.9173697985822894,-0.9290218491855398,-0.917068081291825,-0.9070476628792872,-0.896262351749215,-0.7807960348674754,-0.7137577001839278,-0.9812623910831066,-0.29518779573162035,-0.9204033693941861,-0.6461825150667402,-0.9328360979161988,-0.8855715376887393,-0.9042012260600136,-0.8608277052898409,-0.8980832492208091,-0.8438374237227437,-0.8347632543252695,-0.8954557171929539,-0.7863625374871364,-0.8801946841508081,-0.9625577025907452,-0.6488872589445598,-0.9517340424495764,-0.5968645060839483,-0.9132056145566148,-0.818355407590623,-0.8739011452572637,-0.8316180343327026,-0.8368119631668256,-0.7673298474102191,-0.6687829519119958,-0.8347588723858439,-0.7016202812949772,-0.8731503735133439,-0.9564092811833246,-0.6300457615162136,-0.9482112839859347,-0.781332349691311,-0.8342408502192077,-0.6101784005159281,-0.41476381488038805,-0.1838122551618574,0.11535479650319602,-0.5513993914413687,-0.6239225866307792,-0.13313791741110204,-0.848068343163308,-0.8611303091627898,-0.9240849101976055,-0.5787122673675432,-0.8887940947373063,-0.7722884040694088,-0.7754242284616297,-0.6729851886228025,-0.6574662967882379,-0.510546158143016,-0.14061086800932854,-0.4256242312278481,-0.6910009747099863,-0.2794403442870155,-0.7641299246415757,-0.7390565031579439,-0.8401893188153692,-0.8167450346956369,-1.0,-0.289314184229404,-0.015186224477004129,0.6120539447369278,0.2504574437006384,-0.09353294811515256,-0.14839641292890116,-0.895274896395465,-0.35741313296236743,-0.22473283783615317,-0.08403230494596026,0.13306889967524782,0.17577055045451417,-0.14543282079659825,-0.9162320743623452,-0.24485877995747884,-0.13292053624673794,0.08683139173162124,-0.04194151063515106,-0.08735385515252247,-0.020654000312743115,-0.8072493475127456,0.05331643067804115,-0.27039676300688187,0.028307904466871925,0.6083207177237346,0.47237743140721666,0.25617985545717303,-0.5666068368778554,0.2497120612618442,-0.26492051706587794,-0.16008306251673798,0.5628802213705639,0.569343483518082,0.12013862007151577
-0.988829005930815,-0.8749731485023253,-0.9092338390047787,-0.7827759201577831,-0.9297820460997944,-0.8939611882683101,-0.9106214059006527,-0.9094091796998172,-0.8999452859234077,-0.9029124333923765,-0.40250959839049627,-0.7614927653278694,-0.8566088279693826,-0.959857749706532,-0.9775535550526432,-0.4476124301551455,-0.873031187077479,-0.7661229870113615,-0.976554146426695,-0.8813103902763053,-0.8876551386515154,-0.8537268980360444,-0.8635456667964907,-0.8933932511737671,0.027363457849835626,-0.6821020452754871,-0.8813378386971835,-0.8291841997603959,-0.9825550869106894,-0.31813691358370977,-0.7993581520784276,-0.5403881795761237,-0.9088422529550968,-0.7746671350723068,-0.7899251692166603,-0.46635024655241974,-0.3231757925234199,-0.5986461696966586,0.3615719719292989,-0.5649118193384539,-0.7752286699938874,-0.8495582757512764,-0.9699220478412939,-0.12243822036487018,-0.6223263416493234,-0.23396071845751787,-0.48510943361445125,-0.35690929631347534,0.00586631902554835,-0.13714748446929437,-0.19746022004023456,0.030402446945995587,0.08779107160824728,0.08700101566569396,-0.13678357588358403,-0.7071059914938344,-0.8437125346961427,0.44108221934952496,0.2158016225135151,-0.13327807149030957,-0.6880154306373347,-0.5214661812928247,0.0007405309284886918,0.10546897339098216,0.15542993116781467,-0.0765572178471271,-0.5055872608743315,0.07941058972893611,0.9891107817953819,-0.7491350825573586,-0.7052779530409846,-0.9668877749732137,-0.36271070608923917,-0.07021085485548595,0.26094407868198344,0.23716598009177803,0.08134010165552752,-0.9544103209350285,-0.6751763045285928,-0.4567904484327586,-0.802052877405502,-0.4431825328248148,0.1857401415203248,-0.028436927653569755,-0.8854764325589244,-0.7699613142088841,-0.44198732006477437,-0.43062012613734935,-0.762000358223759,-0.41739177963345264,-0.6143246362326513,-0.800220957761808,-0.741619817284097,-1.0,-0.7663301926760502,0.4023992556279019,-0.25586282482886125,-0.5084961291381884,-0.6171298276053918,-0.3905208990836141,-0.1430792311727791,0.030955225822985266,0.3496124800403675,-0.39079101972943486,-0.4364072902768118
-0.9965904828908623,-0.984098297216497,-0.9985594422404861,-0.9932330257259555,-0.9981888762357424,-0.9934813364984368,-0.9938518657105241,-0.9890471553254617,-0.9889487626102883,-0.9870888050497388,-0.9950877735030362,-0.9943154129524896,-0.9998755427684201,-0.9971230418050915,-0.9953956470936458,-0.9511990862010916,-0.993624480592662,-0.9755062762168534,-0.9639626609623172,-0.9471969647753441,-0.869912394173204,-0.9713527183175737,-1.0,-0.9766119032940513,-0.9712916165376374,-0.9858440725449004,-0.9971071270333122,-0.9964593791720741,-0.9989279780760892,-0.9597729922953642,-0.9981939200713166,-0.965397407738382,-0.9558813807870562,-0.9429132147763698,-0.8678031350227948,-0.973429376959227,-0.9847520261392203,-0.9544224367024157,-0.8611883625839898,-0.9771662924827362,-0.9958379355917959,-0.9968236765231505,-0.999946163475265,-0.8689797102474146,-0.8426301986383812,-0.5956003549165423,-0.5545149445160762,-0.4561477200600764,-0.5285958708046474,-0.7821974871948354,-0.8123506617109544,-0.313338060630065,-0.8982245435708446,-0.9115446671953032,-0.9804326300820633,-0.8889016667925095,-0.9410301102133782,-0.8691935701976957,-0.8615162682854149,-0.7270518102357926,-0.791475164322607,-0.7522815189894053,-0.39036352641068217,-0.6751408707313804,-0.8460067743788044,-0.6775828075442241,-0.895867600491681,-0.8972403064766153,-0.9323606842389704,-0.9311962763440171,-0.025176917446093405,0.5186266422361769,-0.28592919829152263,0.46036981980563074,-0.36591799789004187,-0.6932231520362846,-0.1703898441724606,-0.038325947559703755,0.09735545995935269,-0.22031890155118583,-0.0334073869788134,0.3449889914254003,0.8331389346027569,0.9168515133985715,-0.0505049551039779,0.15505629111520336,-0.34761515355040573,-0.21113475186372066,0.02108517962790457,0.5183443338851008,1.0,-0.7618983458125339,0.5247080742266932,-0.05764598199202342,0.3619745054305328,0.5724380667896103,0.5934882598395297,0.21996104478656187,-0.24660419047755844,0.48325731748827083,0.09269392882640437,0.40208805769679,0.7113013136938349,0.5390576937396294,0.3600202481474124
-0.9860934248531529,-0.936575344193756,-0.9963866791508406,-0.9809702805429261,-0.9708695057896829,-0.9702841483385116,-0.9684670828962846,-0.9590580648515946,-0.9613256696928277,-0.9743747485996019,-0.9540242590688922,-0.9900206807253248,-0.9981909059374005,-0.9920154547936054,-0.966728180987586,-0.4926154171229683,-0.9922394082231322,-0.9258688559232668,-0.9534478546908962,-0.929834685113593,-0.9603334153405291,-0.8863649621028049,-0.9088144386258012,-0.877627628352207,-0.8165067927867442,-0.9744216544272307,-0.9899392265993753,-0.9937449096372368,-0.9818120124204331,-0.4895763090343447,-0.9996352116806445,-0.8941078264815608,-0.9766080592341975,-0.9583672625807029,-0.968882094298628,-0.8627052681476873,-0.8750457589419858,-0.8950034593006306,-0.7844926750763305,-0.9672994435391566,-0.9856151159451341,-0.9942487341253549,-0.9840284547102353,-0.7499975298665762,-0.9225474113121441,-0.6244892938517945,-0.6836300214534624,-0.777364471834952,-0.3713783254635409,-0.7523842246818004,-0.9013762305459421,-0.5504866941698034,-0.9245594819673596,-0.9967568178461799,-0.962052262474548,-0.9411282324248905,-0.9799384539913195,-0.925349175564997,-0.9353460248091157,-0.7964566131381866,-0.8663476236556703,-0.8883646214684854,-0.7335022390490608,-0.8381351041368247,-0.8777193181528405,-0.8316996152160778,-0.9385279279100412,-0.9750686277515582,-0.9701922034847852,-0.9764686118192591,0.2014302144295721,0.22124128164063261,-0.26470633353129847,0.05572885656467541,0.7566040046012847,-0.3853114970150935,-0.22268256542641518,0.48271863626862554,0.6265512353579985,-0.3630935608994772,-0.3053196943766685,-0.3056492859276978,0.055740064023278135,-0.4776262833643392,0.322628854269299,0.5665441530654163,-0.47716751517247225,-0.016628248330937567,-0.4081796761720873,-0.1282436355746578,-0.5364649991301159,-0.3463963757108246,0.5392347104674318,0.32927382256505466,0.536002144074776,0.6045855117989101,0.3219589140906409,0.30817560376223074,-0.06776701931892115,0.5885203630158304,0.32439818767771955,0.5977171097117742,0.7729491988811283,0.21526591527963412,0.3162626989902724
-0.9748805973677144,-0.9333520680092571,-0.9685713574964453,-0.9482243115459298,-0.9487630323881561,-0.9387840132104607,-0.9547727523098875,-0.9545505510891411,-0.9442003446063203,-0.9342882185164867,-0.9117368614595874,-0.9362043274003932,-0.9970615283528241,-0.926438857915847,-0.9371655319515146,-0.6376035401179906,-0.9691190045103869,-0.8099658038948917,-0.6834713791544657,-0.9479745485377202,-0.9407079884977938,-0.922982832878441,-0.8725498770226446,-0.8659769182087227,-0.9035169108389849,-0.9311191148397466,-0.989545631653322,-0.9579978392704853,-0.9552815527700578,-0.5947774303662352,-0.9722195311732204,-0.7402256216927171,-0.5942234124189972,-0.8895372280252583,-0.9310492065892302,-0.9418061206647479,-0.8677492440369161,-0.893339493564067,-0.8286030515935466,-0.9174302261871122,-0.9880383057190627,-0.9550109625961754,-0.8941423748869722,-0.773372891438835,-0.7718535903603869,-0.7152046378012611,-0.6493268655600406,-0.4400234299928636,-0.28775505809908963,-0.8023944827394124,-0.8285933229530403,-0.5227620078126192,-0.9256700575683038,-0.9091706073989086,-0.9363839003985694,-0.8729231665397222,-0.8371870402085646,-0.7392646812939364,-0.7413318464303218,-0.8161208332389251,-0.8150719465928005,-0.625865135696378,-0.21309958338807455,-0.5846746680092687,-0.6646678849296561,-0.4933443023273756,-0.8846972116647813,-0.8226053194183829,-0.8555596233943722,-0.8616811795053447,-0.6390596176976334,-0.012991299396181044,-0.2054933550079473,0.3675064597413942,0.35668046974640766,0.24270514045333336,0.1320513818711202,-0.15958293907355137,0.3963217661313927,-0.3248057604327049,0.8456445050248051,0.7072603677156974,-0.34719239948540326,-0.014267948457095558,-0.15947231147252683,0.532884265225759,-0.4292469020006726,0.6961825041403975,0.9390848505148419,0.2246959508872155,0.32062215958135076,0.022567717570928902,0.18267631136110807,0.14319617763136816,0.34599450170537693,0.6359435386025409,0.6640578277732796,0.5523915497927907,-0.22419062434253434,0.4479080203249932,0.13545417888327527,-0.028736773041713626,0.3889906814991728,0.32103930539262127,0.35884738500527646
-0.9840357308817481,-0.897783333090425,-0.9931555103407731,-0.96818228291123,-0.9796749237927265,-0.9768214607746185,-0.9766660674120473,-0.9674144294571472,-0.9659546743034895,-0.9640501272047862,-0.9457747662709135,-0.9928687737933128,-0.990534370030182,-0.9810286897769838,-0.9877299955640577,-0.8558528199366823,-0.9551613427924326,-0.9300155576663559,-0.9992169144912184,-0.9782491765952976,-0.9647922568437273,-0.9260725448874494,-0.9208532700093539,-0.9080929029434116,-0.8637210792487251,-0.9551797669320335,-0.9764430291050407,-0.9818084041960968,-0.9854579898049552,-0.8395096086296367,-0.8887685934277502,-0.9051884518658733,-0.9717241774678601,-0.9374057991530793,-0.8998719240158967,-0.763642788692005,-0.7324918659757833,-0.8467238355888238,-0.7871723036330456,-0.8675398567283292,-0.9716296473028029,-0.9779023803654956,-0.9694072711315165,-0.9223553652190503,-0.9286390784716783,-0.8828521167941137,-0.781382632590582,-0.5698341200691672,-0.5509967871324646,-0.7797721825429194,-0.9233895697635467,-0.767559928167183,-0.9415407886659646,-0.8766585788858795,-0.916337641028802,-0.8816473837524803,-0.9547854312203756,-0.8097298896325604,-0.8178766666888304,-0.8008260053909467,-0.8649000100197828,-0.7848808520965186,-0.7431668880583273,-0.7833222752209617,-0.8141075059415602,-0.7915788585603094,-0.8352432862313109,-0.8125068213692244,-0.8678587664637548,-0.912109736915701,-0.19454200624366313,-0.40324751537327697,0.05497975265909849,0.33905547786272106,0.06483907099098873,-0.5665989213518047,-0.2739665769325502,-0.4310813060040244,-0.48434232240967023,0.08900162001796263,-0.1412233059509893,-0.6403807996434798,-0.4846528806291144,-0.2651718451199331,-0.26235430340648824,-0.3712428371920118,-0.0043420286427893195,-0.06677801117118243,-0.5466955374841254,-0.4019090912392205,-0.40290344253799304,-0.45030900167796883,-0.3644317496178209,-0.5276697918719643,-0.02353891027345445,0.7237721135191879,0.810884544160257,0.1853324613065157,-0.4371356662311473,0.2636609464351618,-0.1482677442138397,-0.2520142125135566,0.685037333270303,0.3409234237530401,0.10001644379685692
-0.9492469789308232,-0.9118553150797324,-0.890986393107678,-0.9146433027148473,-0.881486650865438,-0.879809307042043,-0.8971350523843209,-0.8882486266862228,-0.886458082288197,-0.8710889458651204,-0.7750174828460292,-0.8502320681422696,-0.9964467211302362,-0.7709466516615667,-0.9290269439846839,-0.6392329451068479,-0.9617342614899429,-0.9018110606331253,-0.8579460592112498,-0.8382641891074698,-0.8645870909922087,-0.846785881987613,-0.8525892389050734,-0.792906934642692,-0.819089938310963,-0.8376827544255734,-0.9946328721638449,-0.8601945609802307,-0.9454929304368357,-0.5537624556284988,-0.9462072805137707,-0.8533142441989522,-0.7817567430016461,-0.7147134386843069,-0.7623574294161926,-0.7596871882377779,-0.6800927545734194,-0.8358776482876709,-0.732198033851988,-0.8132193378118584,-0.990909598115682,-0.8127040797844786,-0.8092852327053444,-0.7286128161630747,-0.6348546129459464,-0.7451203985885904,-0.8697559390337058,-0.6949583497630607,-0.04038675767576172,-0.7010589749005538,-0.7895058108774718,-0.7058924160838685,-0.8791664245287811,-0.7057820572705684,-0.9556372915180393,-0.394756879972194,0.037165968553385165,-0.8527862925062786,-0.5893012991500113,-0.859138930443162,-0.9514305477719255,-0.8634687999877815,-0.44908765607020584,-0.6832661547854706,-0.8660090957537152,-0.8293481921734267,-0.8926120563226771,-0.03649394859538713,-0.9118851433557019,-0.3738849216677945,-0.7981600992627157,0.032280391445790535,0.02631791952961393,-0.02447766426995246,0.5399383630432095,0.24402412617307867,-0.04583177644817238,-0.670971864712534,0.7457751743361913,-0.691263066674116,-0.08288301990067526,-0.07860700817023736,0.39027989995790846,0.07388359863649274,-0.7127819264485129,0.7340025104398822,-0.6300265775037062,0.026330174555738495,0.3069642094952443,0.28887298998389244,0.2865278223408645,-0.5038903564395096,0.49994108012205496,-0.2861511062702,-0.08182043622974222,0.29381040500034916,0.14698951369225144,0.4857741889027165,-0.06967696876552498,0.38212012630311043,-0.8735698203674394,-0.17273444514766767,0.2064713061394774,0.2683578119621737,0.3001738655530961
-0.9853631122935289,-0.9972346121096867,-0.9959240233324167,-0.9960797427794678,-0.9756786247874009,-0.9682405219348558,-0.9676020370441558,-0.968979457007357,-0.9622523642966467,-0.9734683077589199,-0.9949909435874649,-0.9863293399518788,-0.99891443875983,-0.9903807434467046,-0.9434531158455286,-1.0,-0.9852480299470766,-1.0,-0.9803710683724386,-0.9466282855452938,-0.9161587157232238,-0.9009157020488698,-0.8762319860699805,-0.9043565082228614,-0.9892471576593426,-0.9884977838075522,-0.9991004273092254,-0.9865552245981463,-0.9679670494216,-1.0,-0.9887628602706086,-1.0,-1.0,-0.9770433186727925,-0.918861714555137,-0.9245321838956903,-0.9213403467237488,-0.9614545826314361,-0.9557113680145307,-1.0,-0.9987767985449074,-0.9863382322506449,-0.9421168139446977,-0.9547542658239258,-0.9338225734757334,-0.9695322611853808,-0.9893444766605469,-1.0,-0.7386595986245758,-0.9081724742200296,-0.9850031804879733,-0.9300877846608094,-0.9800204796484219,-0.9592147533673747,-0.9799335533168164,-0.9178166164855859,-0.8842816741813829,-0.9365770325610946,-0.9896153129196299,-0.9652107893312124,-0.9932900766536014,-0.9586825728999618,-0.7364883618468778,-0.9035453934255487,-0.9505668559851063,-0.9825639008586368,-0.9796452933291651,-0.92241978458072,-0.9797643796590523,-0.929908407554533,0.1311303053064019,-0.49791312182197045,-0.3433851682069561,0.22780663076342011,0.5445424148177835,-0.24598621488829264,0.22561496731622266,0.40923470078209423,0.05021358713310953,0.06637318173332285,-0.4380335598585069,-0.42425701843688424,-0.31393616815605974,0.04216122551360524,0.25156310385313896,0.2590266596612729,0.1283303036444834,-0.07819866392709363,-0.2907642628586051,-0.07228294940921376,0.2859500059909976,-0.06667965753037797,0.20074794433110288,-0.10461134831071817,0.09515669810225336,-5.6664645685988724e-05,0.0026122667729595594,0.39763070068920636,0.00432720212006199,0.6577515396533298,-0.4131874071397441,0.09457515998862043,0.18809425147374892,0.22336211642197945,0.5895874310276292
-0.9943633834627852,-0.9822870329354376,-0.9973990631574986,-0.994632872026321,-0.9930024739048227,-0.9828267068208913,-0.9859907908977034,-0.9811938721877091,-0.9840651974103719,-0.984532082372504,-0.9819622020882319,-0.992697575664982,-0.9994678861690397,-0.9964753285937081,-0.9838499355831061,-0.8119537111900379,-0.9960550146393833,-0.9546072420021667,-0.97890117596388,-0.9432165669330336,-0.9352957745419044,-0.9225210615116387,-0.9475833132426341,-0.9367809658860178,-0.9534774306845696,-0.9935648186426893,-0.9990679557693517,-0.9984117115966292,-0.98504704767326,-0.7369481666046538,-0.9673976001547506,-0.918488274083242,-0.98846704832006,-0.8772896593937447,-0.8753851001029909,-0.8515838846295689,-0.790846831041983,-0.889780217285763,-0.8849916921074309,-0.9176141667404852,-0.9962191843543903,-0.9989224789405178,-0.9737399203809104,-0.852650937760109,-1.0,-0.982856502077421,-0.9938144684302934,-0.9154459885796241,-0.8398481280648593,-0.9207969024676668,-0.9629222735496688,-0.8957548515386987,-0.9815708069144263,-0.9906502951276819,-0.9803960755248746,-0.9374090248656493,-0.9090739595376295,-0.9174515380360658,-0.9922544443074237,-0.9643569064432425,-0.9932929180969567,-0.9573285904603364,-0.9062975759855922,-0.8352508083068797,-0.9379752561820158,-0.9644448590858488,-0.9813211753491831,-0.9547034806879058,-0.9716153579578081,-0.9278356662149485,0.12739471482099285,0.17865964418476565,-0.2468789460483014,-0.09524509182159235,0.035168269203463165,-0.008049053465818967,-0.10563459459210134,0.5704855641538851,0.9436536631337622,-0.1416718586436282,0.137245208310238,-0.19048244823195415,0.21857005871102042,0.034503230172357346,0.530060175142494,0.8082085996059216,-0.3704256037595234,0.21776996384050573,-0.5206593372189352,0.02859757591425649,0.13850584283106082,-0.24552372171295767,0.5744484930629064,-0.21053796320879803,0.01824699891094328,-0.19762847827249985,0.20601355589511217,0.29875804461986855,-0.11805391490801986,0.6700553743751096,-0.22058127646962666,0.15540156956287543,0.03184689610592373,0.1530805962268762,-0.09391753215544707
-0.988200046794768,-0.916851384370616,-0.9959794683244473,-0.9706403435620665,-0.9715702643644012,-0.9663901395215777,-0.9647711255130225,-0.9702492842746372,-0.9716274716656232,-0.972789339163899,-0.9460402634975078,-0.974543742569567,-0.9977920709054733,-0.9926386474905784,-0.9833790494162203,-0.3856149297984405,-0.9802101016266441,-0.8798339337516851,-0.8901187680371055,-0.882044447394339,-0.9148712661754446,-0.952035373981611,-0.9169168077045065,-0.8783141732780497,-0.8400438863974082,-0.9314594897925146,-0.9901006673115602,-0.9947386558642808,-0.9877262205169002,-0.21268686216690258,-0.9294422641866635,-0.7814127557294401,-0.8704098340627158,-0.8757546719957559,-0.8754844603907407,-0.830161280546801,-0.79044693085613,-0.7802150238151075,-0.7746301061245202,-0.8954558601509859,-0.9873456533407642,-0.9950291804489441,-0.9483302714791184,-0.7151444510597176,-0.9529045999430485,-0.9573534202637536,-0.9869975434071299,-0.8440703277846127,-0.5746314830733581,-0.8602366826038949,-0.9276882956806646,-0.9036948528674573,-0.9820837213444379,-0.9450702219699472,-0.9846754111967553,-0.914329358457707,-0.9443691745803063,-0.8975394775267276,-0.9890825256962392,-0.9866424672312423,-0.9939227328972728,-0.9794442653501609,-0.7212378964087319,-0.9488024465430679,-0.9105648512626654,-0.9672329924358006,-0.9912599536882218,-0.8907954123368187,-0.9696015876468066,-0.9056975656060703,0.15390383623689274,0.26322215636203783,-0.5821176868799212,0.2750403841214091,0.6740382580737065,0.2604675828319032,0.4004041888819707,0.23406163344235242,0.7537541987062906,-0.5096874617842386,0.1690875762869286,0.1187070693372132,0.512477550074325,0.46765787700395456,0.23100256137330377,0.9093509804509721,-0.13754180541244088,0.4070962387788408,-0.19565168936822297,0.03407444538732918,0.031893777446381444,-0.13232642528041216,1.0,-0.3000726315178448,0.24527337785468672,-0.07111876230576952,0.2603622734685582,0.4291015620158882,-0.42152144341877784,0.7761493145086533,-0.5676082466225972,0.10490912092479343,0.030266011727988484,-0.1460612618326672,0.8493655470300059
